service_id,date,exception_type
Special#15,20200529,1
Special#15,20200615,1
Special#15,20200616,1
Special#15,20200617,1
Special#15,20200618,1
Special#15,20200619,1
Special#15,20200622,1
Special#15,20200623,1
Special#15,20200624,1
Special#15,20200625,1
Special#15,20200626,1
Special#15,20200629,1
Special#15,20200630,1
Special#15,20200701,1
Special#15,20200702,1
Special#15,20200703,1
Special#15,20200706,1
Special#15,20200707,1
Special#15,20200708,1
Special#15,20200709,1
Special#15,20200710,1
Special#15,20200713,1
Special#15,20200714,1
Special#15,20200715,1
Special#15,20200716,1
Special#15,20200717,1
Special#15,20200720,1
Special#15,20200721,1
Special#15,20200722,1
Special#15,20200723,1
Special#15,20200724,1
Special#16,20200203,1
Special#16,20200204,1
Special#16,20200205,1
Special#16,20200206,1
Special#16,20200207,1
Special#16,20200210,1
Special#16,20200211,1
Special#16,20200212,1
Special#16,20200213,1
Special#16,20200214,1
Special#16,20200217,1
Special#16,20200218,1
Special#16,20200219,1
Special#16,20200220,1
Special#16,20200221,1
Special#16,20200302,1
Special#16,20200303,1
Special#16,20200304,1
Special#16,20200305,1
Special#16,20200306,1
Special#16,20200309,1
Special#16,20200310,1
Special#16,20200311,1
Special#16,20200312,1
Special#16,20200313,1
Special#16,20200316,1
Special#16,20200317,1
Special#16,20200318,1
Special#16,20200319,1
Special#16,20200320,1
Special#16,20200323,1
Special#16,20200324,1
Special#16,20200325,1
Special#16,20200326,1
Special#16,20200327,1
Special#16,20200330,1
Special#16,20200331,1
Special#16,20200401,1
Special#16,20200402,1
Special#16,20200403,1
Special#17,20200203,1
Special#17,20200204,1
Special#17,20200205,1
Special#17,20200206,1
Special#17,20200207,1
Special#17,20200210,1
Special#17,20200211,1
Special#17,20200212,1
Special#17,20200213,1
Special#17,20200214,1
Special#17,20200217,1
Special#17,20200218,1
Special#17,20200219,1
Special#17,20200220,1
Special#17,20200221,1
Special#17,20200302,1
Special#17,20200303,1
Special#17,20200304,1
Special#17,20200305,1
Special#17,20200306,1
Special#18,20200309,1
Special#18,20200310,1
Special#18,20200311,1
Special#18,20200312,1
Special#18,20200313,1
Special#18,20200316,1
Special#18,20200317,1
Special#18,20200318,1
Special#18,20200319,1
Special#18,20200320,1
Special#18,20200323,1
Special#18,20200324,1
Special#18,20200325,1
Special#18,20200326,1
Special#18,20200327,1
Special#18,20200330,1
Special#18,20200331,1
Special#18,20200401,1
Special#18,20200402,1
Special#18,20200403,1
Special#18,20200427,1
Special#18,20200428,1
Special#18,20200429,1
Special#18,20200430,1
Special#18,20200504,1
Special#18,20200505,1
Special#18,20200506,1
Special#18,20200507,1
Special#18,20200508,1
Special#18,20200511,1
Special#18,20200512,1
Special#18,20200513,1
Special#18,20200514,1
Special#18,20200515,1
Special#18,20200518,1
Special#18,20200519,1
Special#18,20200520,1
Special#18,20200522,1
Special#18,20200525,1
Special#18,20200526,1
Special#18,20200527,1
Special#18,20200528,1
Special#18,20200529,1
Special#18,20200615,1
Special#18,20200616,1
Special#18,20200617,1
Special#18,20200618,1
Special#18,20200619,1
Special#18,20200622,1
Special#18,20200623,1
Special#18,20200624,1
Special#18,20200625,1
Special#18,20200626,1
Special#18,20200629,1
Special#18,20200630,1
Special#18,20200701,1
Special#18,20200702,1
Special#18,20200703,1
Special#18,20200706,1
Special#18,20200707,1
Special#18,20200708,1
Special#18,20200709,1
Special#18,20200710,1
Special#18,20200713,1
Special#18,20200714,1
Special#18,20200715,1
Special#18,20200716,1
Special#18,20200717,1
Special#18,20200720,1
Special#18,20200721,1
Special#18,20200722,1
Special#18,20200723,1
Special#18,20200724,1
Special#19,20200204,1
Special#19,20200205,1
Special#19,20200211,1
Special#19,20200212,1
Special#19,20200218,1
Special#19,20200219,1
Special#19,20200303,1
Special#19,20200304,1
Special#19,20200310,1
Special#19,20200311,1
Special#19,20200317,1
Special#19,20200318,1
Special#19,20200324,1
