stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
de:09375:139:0:1,,Hönighausen,49.0620938,12.0524446,,
de:09375:14:0:1,,Abzw. Grubhof,49.1357805,12.2235916,,
de:09375:14:0:2,,Abzw. Grubhof,49.1356924,12.2235737,,
de:09375:140:0:1,,Etterzhausen Schlossbr.,49.0308934,11.9857716,,
de:09375:140:0:2,,Etterzhausen Schlossbr.,49.0311114,11.9852596,,
de:09375:141:0:1,,Fidelhof,49.1380491,12.1481062,,
de:09375:141:0:2,,Fidelhof,49.1378728,12.1483757,,
de:09375:142:0:1,,Forstmühle,49.0846855,12.3232687,,
de:09375:142:0:2,,Forstmühle,49.0845502,12.3231968,,
de:09375:143:0:1,,Forstmühle Schlecht,49.0842384,12.3202503,,
de:09375:143:0:2,,Forstmühle Schlecht,49.0841089,12.3202234,,
de:09375:144:0:1,,Frauenberg,49.076295,11.9086333,,
de:09375:144:0:2,,Frauenberg,49.0764539,11.9085974,,
de:09375:145:0:1,,Frauenzell,49.0570374,12.368445,,
de:09375:145:0:2,,Frauenzell,49.0569373,12.3683102,,
de:09375:146:0:1,,Friesheim Ost,49.0111468,12.2810838,,
de:09375:146:0:2,,Friesheim Ost,49.0109995,12.2812365,,
de:09375:147:0:1,,Friesheim West,49.0085896,12.2736817,,
de:09375:147:0:2,,Friesheim West,49.0085542,12.274023,,
de:09375:149:0:1,,Fußenberg Kürner Straße,49.0777014,12.1675367,,
de:09375:149:0:2,,Fußenberg Kürner Straße,49.0776778,12.1676715,,
de:09375:15:0:N,,Neutraubling Abzw. Harting,48.9829154,12.1846047,,
de:09375:150:0:1,,Gailsbach,48.8860468,12.2321795,,
de:09375:150:0:2,,Gailsbach,48.886094,12.23244,,
de:09375:1505:0:1,,Etterzhausen Domspatzenstraße,49.0316886,11.9715962,,
de:09375:152:0:1,,Gansbach,48.8681633,12.2563442,,
de:09375:152:0:2,,Gansbach,48.868246,12.2563172,,
de:09375:153:0:1,,Gebelkofen Abzw.,48.9351626,12.1658838,,
de:09375:153:0:2,,Gebelkofen Abzw.,48.935257,12.1657491,,
de:09375:154:0:1,,Gebelkofen Ortsmitte,48.9341771,12.1594699,,
de:09375:154:0:2,,Gebelkofen Ortsmitte,48.9342951,12.1592453,,
de:09375:156:0:1,,Geisling Irlbruck,48.9737883,12.3135489,,
de:09375:156:0:2,,Geisling Irlbruck,48.9736645,12.3133423,,
de:09375:157:0:1,,Geisling Ost,48.9706336,12.331075,,
de:09375:157:0:2,,Geisling Ost,48.9705156,12.3308954,,
de:09375:158:0:1,,Geisling West,48.9699554,12.3248677,,
de:09375:158:0:2,,Geisling West,48.9698669,12.3249485,,
de:09375:159:0:1,,Gengkofen,48.9699259,12.2420789,,
de:09375:159:0:2,,Gengkofen,48.970038,12.2420789,,
de:09375:160:0:1,,Glapfenberg,49.1679664,12.2209775,,
de:09375:160:0:2,,Glapfenberg,49.1679312,12.2209506,,
de:09375:16001:0:1,,Eibrunn,49.0549299,12.0022647,,
de:09375:16001:0:2,,Eibrunn,49.0545884,12.0028037,,
de:09375:16004:0:0,,Kneiting,49.0275126,12.0361132,,
de:09375:16020:0:1,,Hainsacker Gasth. Prößl,49.0726936,12.0549868,,
de:09375:16020:0:2,,Hainsacker Gasth. Prößl,49.0726995,12.0553012,,
de:09375:16021:0:1,,Hainsacker Siedlung,49.0724818,12.0614367,,
de:09375:16021:0:2,,Hainsacker Siedlung,49.07257,12.0614098,,
de:09375:16022:0:1,,Hainsacker Am Schlag,49.0738941,12.0749025,,
de:09375:16022:0:2,,Hainsacker Am Schlag,49.0738706,12.0742737,,
de:09375:16024:0:1,,Lorenzen Regenstrand,49.0650368,12.0897157,,
de:09375:16024:0:2,,Lorenzen Regenstrand,49.0651957,12.0898594,,
de:09375:16025:0:1,,Pielmühle,49.0598629,12.0912069,,
de:09375:16025:0:2,,Pielmühle,49.0606811,12.0912518,,
de:09375:16026:0:1,,Lappersdorf Industriestr.,49.0538172,12.0906589,,
de:09375:16026:0:2,,Lappersdorf Industriestr.,49.0537701,12.0907128,,
de:09375:16030:0:1,,Lappersdorf Oppersdorfer Str. Bstg 1,49.0507087,12.0902996,0,de:09375:16030_Parent
de:09375:16030:0:2,,Lappersdorf Oppersdorfer Str. Bstg 2,49.0506028,12.0902726,0,de:09375:16030_Parent
de:09375:16030:0:3,,Lappersdorf Oppersdorfer Str. Bstg 3,49.0505498,12.0904343,0,de:09375:16030_Parent
de:09375:16030:0:4,,Lappersdorf Oppersdorfer Str. Bstg 4,49.0506734,12.0901469,0,de:09375:16030_Parent
de:09375:16030:0:5,,Lappersdorf Oppersdorfer Str. Bstg 5,49.0506499,12.0906859,0,de:09375:16030_Parent
de:09375:16030_Parent,,Lappersdorf Oppersdorfer Str.,49.0506145,12.0903804,1,
de:09375:16032:0:1,,Lappersdorf Hornauer,49.0440201,12.0932461,,
de:09375:16032:0:2,,Lappersdorf Hornauer,49.0440437,12.0933808,,
de:09375:16033:0:1,,Neukareth Bstg 1,49.0405989,12.0945666,,
de:09375:16033:0:2,,Neukareth Bstg 2,49.0411407,12.0944049,,
de:09375:16033:0:3,,Neukareth Bstg 3,49.0408109,12.0936593,,
de:09375:16037:0:1,,Lappersdorf Ludw.-Thoma-Str.,49.0530578,12.0807685,,
de:09375:16037:0:2,,Lappersdorf Ludw.-Thoma-Str.,49.0529047,12.0808763,,
de:09375:16038:0:1,,Lappersdorf Kapelle,49.0470525,12.0917279,,
de:09375:16038:0:2,,Lappersdorf Kapelle,49.0468876,12.0919345,,
de:09375:16039:0:1,,Pielmühle Rodauer Weg,49.0596451,12.0886736,,
de:09375:16039:0:2,,Pielmühle Rodauer Weg,49.0597746,12.0893923,,
de:09375:16040:0:1,,Regendorf Schloß,49.0926923,12.1084186,,
de:09375:16041:0:1,,Lorenzen Kallmünzer Str.,49.0700277,12.0872184,,
de:09375:16041:0:2,,Lorenzen Kallmünzer Str.,49.0700983,12.0873262,,
de:09375:16051:0:1,,Regendorf Ortsmitte,49.089745,12.108733,,
de:09375:16052:0:1,,Rodau Altenheim,49.0612698,12.0841731,,
de:09375:16053:0:1,,Oppersdorf Feuerwehr,49.0562839,12.067159,,
de:09375:16053:0:2,,Oppersdorf Feuerwehr,49.0568961,12.0667637,,
de:09375:16054:0:1,,Oppersdorf Süd,49.0500964,12.0728902,,
de:09375:16054:0:2,,Oppersdorf Süd,49.0505145,12.0727465,,
de:09375:16055:0:1,,Kareth Hauptstraße,49.0394094,12.0861404,,
de:09375:16055:0:2,,Kareth Hauptstraße,49.0395331,12.0869489,,
de:09375:16056:0:1,,Lappersdorf Goethestraße,49.0517979,12.075711,,
de:09375:16056:0:2,,Lappersdorf Goethestraße,49.0517449,12.0766632,,
de:09375:161:0:2,,Gmünd,48.9719957,12.4293597,,
de:09375:162:0:1,,Gnadenhof,49.1647065,12.2012056,,
de:09375:162:0:2,,Gnadenhof,49.1646948,12.2013134,,
de:09375:164:0:1,,Gonnersdorf Angerstraße Bstg 1,49.0668143,12.1541788,,
de:09375:164:0:2,,Gonnersdorf Angerstraße Bstg 2,49.0667554,12.1539273,,
de:09375:1655:0:1,,Kneiting Dorfplatz,49.0260223,12.0335261,,
de:09375:1656:0:1,,Schönleiten,49.1530394,12.0408204,,
de:09375:1656:0:2,,Schönleiten,49.1532098,12.0410989,,
